,,simulations and discussion,,
,,system analysis,,
,,discussion & conclusion,,
,,experimental result and discussion,,
,,sensitivity analysis and discussion,,
,,system testing and evaluation,,
,,dataset analysis,,
,,experimental results and performance evaluation,,
,,numerical examples and simulation results,,
,,an illustrative empirical application,,
,,computational results and discussion,,
,,numerical example and discussions,,
,,experiment results and discussion,,
,,requirements analysis,,
,,results of the case study,,
,,discussions and limitations,,
,,experimentation and analysis of results,,
,,policy comparison,,
,,comparison with other findings,,
,,result analysis,,
,,discussion of the experimental results,,
,,computational results and analysis,,
,,robustness test,,
,,case study and experiments,,
,,discussion and comparison with existing works,,
,,measurement results,,
,,discussion and results,,
,,the empirical study,,
,,empirical study and discussions,,
,,discussion and summary,,
,,experiment results and analyses,,
,,results and findings,,
,,results and performance analysis,,
,,empirical results and analysis,,
,,numerical result,,
,,analytical results,,
,,conclusion and discussions,,
,,experiment and results analysis,,
,,empirical findings,,
,,comparison with other findings,,
,,empirical experiment,,
,,data collection and analysis,,
,,model evaluation,,
,,experimental investigation,,
,,managerial implications,,
,,numerical investigation,,
,,numerical tests,,
,,numerical applications,,
,,empirical application,,
,,numerical simulations,,
,,numerical results,,
,,numerical experiments,,
,,application,,
,,simulation study,,
,,experimental design,,
,,experimentation,,
,,datasets,,
,,implementation details,,
,,research design,,
,,data collection,,
,,dataset,,
,,experimental set-up,,
,,experimental settings,,
,,experimental setting,,
,,preprocessing,,
,,experimental data,,
,,experiment design,,
,,corpus,,
,,data set,,
,,evaluation criteria,,
,,data preprocessing,,
,,databases,,
